#种子 0xf00d	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.475074	1.390318	1.470959	1.477143	1.401871	1.487431	119.953176	120.406660	120.074898	119.933710	120.495342	119.047420	-0.134446	-1.636016	0.829585	0.030127	74.1271	CC1=CC=C(NC2=C3C(=O)C4=CC=CC=C4C(=O)C3=C(O)C=C2)C=C1
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.475556	1.390830	1.471581	1.476584	1.400460	1.487468	119.632234	120.386150	120.094819	119.860591	120.370238	119.272747	-0.388956	-3.679339	2.405193	0.063316	76.6768	NC1=CC=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.475999	1.397502	1.482243	1.475999	1.397502	1.482243	120.191574	120.246827	118.885036	120.191594	120.246833	118.885029	2.358357	-10.421839	8.022030	0.121864	89.9997	NC1=CC=C(O)C2=C1C(=O)C3=C(C(=CC=C3O)N)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476029	1.390767	1.472323	1.477458	1.400904	1.488661	119.788187	120.509995	120.173737	119.361661	121.141144	118.674155	-0.324878	-3.576635	2.376519	0.060854	77.1951	CNC1=CC=CC2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476238	1.396441	1.475382	1.472567	1.395584	1.475148	119.852364	120.012459	119.885118	120.226525	119.812951	120.210583	0.000048	0.000071	-0.000082	0.000001	77.2890	Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476238	1.396441	1.475382	1.472568	1.395584	1.475149	119.852355	120.012466	119.885121	120.226518	119.812961	120.210578	0.000023	0.000006	-0.000007	0.000000	61.7763	OC1=C(O)C2=C(C=C1)C(=O)C3=C(C(=CC=C3O)O)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476302	1.393871	1.476564	1.476995	1.394447	1.476996	119.171149	120.392712	120.423020	119.248846	120.277264	120.487010	0.000048	-0.000062	0.000034	0.000001	69.1801	OC(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476329	1.391636	1.473457	1.477096	1.398933	1.486458	119.527242	120.487910	120.245218	119.308717	120.918795	119.156007	-0.357596	-3.582432	2.392017	0.061241	77.1393	NC1=CC=CC2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476403	1.395713	1.476865	1.476403	1.395713	1.476865	119.326710	120.297702	120.375148	119.326709	120.297702	120.375149	-0.242891	0.240521	-0.240321	0.002156	0.0069	OS(=O)(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC(=C3)S(O)(=O)=O)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476477	1.393982	1.476343	1.476569	1.395713	1.477167	119.195209	120.409667	120.409454	119.257605	120.320255	120.399974	0.020943	-0.771907	0.878323	0.009234	83.0611	OS(=O)(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476479	1.393995	1.476585	1.476429	1.394626	1.476852	119.157791	120.405998	120.422875	119.217802	120.338386	120.457149	0.000054	0.000019	-0.000033	0.000001	67.6741	BrC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476479	1.394045	1.476587	1.476245	1.394738	1.476887	119.161791	120.400728	120.419188	119.231045	120.331569	120.455679	-0.000309	0.000175	0.000083	0.000003	79.5777	ClC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476528	1.394104	1.476243	1.476374	1.394955	1.477154	119.196832	120.394516	120.387509	119.286327	120.309938	120.416272	0.045516	-0.828856	0.947112	0.009636	81.4337	ClS(=O)(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476538	1.399759	1.484382	1.479983	1.393386	1.471525	119.620773	120.934615	117.997413	119.564669	120.833034	118.532810	1.846101	-12.901690	10.105666	0.166132	87.0269	[O-][N+](=O)C1=CC=CC2=C1C(=O)C3=C(C(=CC=C3)Cl)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476549	1.392428	1.473043	1.476977	1.399002	1.486221	119.552021	120.507959	120.141157	119.407469	120.899999	119.127726	0.366286	3.640664	-2.466148	0.061917	77.3228	NC1=CC=CC2=C1C(=O)C3=C(C=C(Cl)C=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476556	1.393973	1.476865	1.476551	1.392129	1.476419	119.094629	120.403749	120.431700	119.137914	120.390055	120.538592	0.097292	-0.479342	0.333908	0.006068	86.2540	NC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476556	1.393973	1.476865	1.476551	1.392129	1.476419	119.094637	120.403749	120.431694	119.137913	120.390050	120.538596	-0.097304	0.479314	-0.333851	0.006068	86.2525	Nc1ccc2C(=O)c3ccccc3C(=O)c2c1
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476586	1.393877	1.476694	1.476959	1.392937	1.476647	119.122627	120.421711	120.431891	119.135107	120.411246	120.477220	0.019582	0.099649	-0.166449	0.001400	73.1639	CC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476738	1.394025	1.476481	1.476169	1.395145	1.476880	119.133073	120.437675	120.416082	119.205963	120.373169	120.434038	0.000079	-0.000006	-0.000062	0.000001	82.8565	OC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476810	1.391728	1.473257	1.478013	1.398144	1.482499	119.398987	120.447083	120.137808	119.238713	120.857777	119.101535	-0.357162	-4.868818	2.316733	0.091289	73.8066	OC(=O)C1=CC=CC2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476883	1.391274	1.476883	1.476604	1.393812	1.476604	119.120760	120.464872	120.464873	119.120757	120.414205	120.414203	-0.226558	0.161753	-0.028944	0.001632	58.4207	O=C1C2=C(C=CC=C2)C(=O)C3=C1C=C4CCCCC4=C3
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477275	1.395257	1.474055	1.477275	1.395257	1.474055	120.685043	119.068375	120.246566	120.685042	119.068374	120.246562	0.049842	-0.050692	0.050122	0.000449	0.0511	OC1=C(O)C(=C(O)C2=C1C(=O)C3=C(C(=C(O)C(=C3O)S(O)(=O)=O)O)C2=O)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477436	1.398548	1.478961	1.477436	1.398548	1.478961	119.064878	120.240011	117.203540	119.064877	120.240010	117.203538	4.811199	-23.219130	18.483504	0.276670	90.0000	OS(=O)(=O)C1=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC=C1)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.477506	1.399633	1.483944	1.478148	1.394943	1.479627	119.528642	121.164074	118.161771	119.688173	120.968704	118.640450	1.851724	-11.776889	9.998913	0.142972	89.9319	NC1=CC=CC2=C1C(=O)C3=C(C(=CC=C3)Cl)C2=O
