#种子 0xbeef	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.469137	1.387117	1.473419	1.489456	1.409822	1.489389	119.529502	119.711587	120.075039	119.670999	118.512054	119.474009	0.273714	-14.354924	13.896676	0.182453	89.9018	NC1=C(Br)C=C(Br)C2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.471966	1.390999	1.476602	1.481303	1.397213	1.478626	119.351251	120.063056	120.527237	119.995314	118.877839	121.185303	-0.000120	-0.000064	0.000230	0.000002	79.5731	CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+]([O-])=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.472090	1.397444	1.479651	1.480110	1.397269	1.472065	119.962674	117.164263	120.071338	118.719754	120.180354	117.390835	-9.917043	-10.240025	13.515840	0.257068	75.6696	OS(=O)(=O)C1=C2C(=O)C3=C(C=CC=C3C(=O)C2=CC=C1)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.472766	1.391124	1.476215	1.488318	1.397916	1.477212	119.313546	120.179679	120.481246	119.654957	118.846392	121.116697	-0.369025	5.804052	-6.998297	0.065528	77.0882	Cc1ccc2C(=O)c3ccccc3C(=O)c2c1N
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.473298	1.392140	1.474042	1.478175	1.397606	1.477325	119.811832	120.116428	120.195954	119.991394	119.661470	120.222922	0.000094	-0.000256	0.000215	0.000002	78.2153	OC1=CC(=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O)Cl
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.473708	1.392430	1.473489	1.477650	1.398247	1.477609	119.810649	120.136256	120.130437	120.097240	119.627413	120.197823	-0.005902	0.104970	-0.167108	0.001262	61.5783	OC1=CC(=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.473972	1.391574	1.473972	1.487540	1.344018	1.487540	118.120100	120.560268	120.560263	118.120103	121.316186	121.316194	0.033718	0.209227	-0.763626	0.007046	52.2822	O=C1C2=C(CCCC2)C(=O)C3=C1C=CC=C3
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.475074	1.390318	1.470959	1.477142	1.401871	1.487431	119.953182	120.406642	120.074885	119.933726	120.495319	119.047430	-0.134853	-1.635887	0.829549	0.030130	74.1233	CC1=CC=C(NC2=C3C(=O)C4=CC=CC=C4C(=O)C3=C(O)C=C2)C=C1
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.475556	1.390830	1.471581	1.476584	1.400460	1.487468	119.632254	120.386153	120.094812	119.860590	120.370245	119.272724	0.388820	3.679486	-2.405297	0.063316	76.6776	NC1=CC=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.475999	1.397502	1.482243	1.475999	1.397502	1.482243	120.191581	120.246829	118.885031	120.191591	120.246820	118.885039	-2.358170	10.421747	-8.022075	0.121864	90.0000	NC1=CC=C(O)C2=C1C(=O)C3=C(C(=CC=C3O)N)C2=O
