#种子 0xbeef	NCONF 100	环大小 5
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	a0	a1	a2	a3	a4	t0	t1	t2	Q	phi	SMILES
22222i	22222	NCCCN	-,-,N,-,-	1.306609	1.478906	1.489759	1.297844	1.445146	110.261177	107.914039	103.717504	108.345857	109.686449	-2.626798	2.618030	0.000000	0.025349	0.8653	C1(\C(=NN=C1N)C2C=CC(C)=CC=2)=N/NC3C=C([N+]([O-])=O)C=CC=3
22222i	22222	NCCNC	-,C,O,-,O	1.364817	1.495091	1.366306	1.370915	1.383469	109.812995	106.518484	104.450003	111.508845	107.703186	0.450646	-0.783851	0.000000	0.007112	0.7655	COC1=CC=C(C=C1)C=C2NC(=O)NC2=O
22222i	22222	NCCNC	-,C,O,-,S	1.367668	1.497931	1.369775	1.370914	1.382315	109.445914	106.692152	104.374062	111.241467	108.245714	-0.231819	0.110207	0.000000	0.002386	10.3323	OC1=C(C=CC=C1)C=C2NC(=S)NC2=O
22222i	22222	NCCNC	-,C,O,-,S	1.380291	1.492718	1.375192	1.393517	1.409522	109.021535	107.335261	104.942456	111.332307	107.368441	-0.000017	0.000012	0.000000	0.000000	7.3550	CN1/C(=C/Nc2ccccc2)/C(=O)N(C1=S)C
22222i	22222	NCNCC	-,-,-,C,O	1.350468	1.299228	1.376972	1.491655	1.366569	107.826690	115.997433	104.170475	109.411856	102.576123	-0.816753	-0.039413	0.000000	0.011510	3.4054	CCN1C(=N/C(=C\\c2ccccc2)/C1=O)C
22222i	22222	NCNCC	-,C,-,-,-	1.440839	1.422827	1.389245	1.340511	1.401237	105.541090	106.982195	107.124299	109.725418	110.570249	-2.367199	1.593064	0.000000	0.021889	3.0796	N1(/C(=C/[N+]([O-])=O)N(C)C=C1)C(=N)N
22222i	22222	NCOCN	-,-,-,C,-	1.300342	1.369770	1.394643	1.372386	1.346605	102.554062	119.205964	98.335147	109.899278	109.489630	-1.823527	5.534454	0.000000	0.063177	16.2204	c1cc(ccc1C2=NN/C(=C(\\N)/N=O)/O2)[N+](=O)[O-]
22223f1	22223	CCCCC	-,-,C,N,-	1.337301	1.425209	1.474751	1.531461	1.535186	111.921271	111.671873	107.237023	108.423476	100.741274	-0.008949	0.460620	0.000000	0.006916	2.4757	[H]/N=C/1\\[C@@H](C(=C\\2C1=C(C(/C2=N\\[H])C#N)C)C)C#N
22223f1	22223	CCCCC	N,O,-,-,-	1.514633	1.465202	1.400691	1.502952	1.514092	109.065087	106.188755	109.369460	112.703771	102.672928	0.000019	0.000007	0.000000	0.000000	8.4499	C1(\C(C2C=CC=CC(C1)=2)=O)=N/O
22223f1	22223	CCCCS	-,-,-,-,O	1.341457	1.459076	1.394161	1.750904	1.742728	112.787643	112.258127	113.076357	109.836974	92.040899	-0.000010	0.000002	0.000000	0.000000	7.2049	BrC1=CC2=CC=CC=C2S1(=O)=O
22223f1	22223	CCCCS	N,-,-,N,-	1.480372	1.330890	1.445371	1.747582	1.774804	108.357735	113.265833	116.258925	109.066938	93.038477	-0.520443	-0.280661	0.000000	0.011799	15.8189	CN1CCC\\2=C1/C(=N\\O)/S/C2=N\\c3ccc(cc3)F
22223f1	22223	NCCNS	-,-,-,-,-	1.417048	1.415103	1.417048	1.674508	1.674508	108.091296	112.311387	112.311389	108.091293	96.114378	-0.000001	11.513536	0.000000	0.183489	0.0000	c1ccc2c(c1)nc3c(n2)NSN3
22223f1	22223	NCCNS	-,-,-,-,O	1.426320	1.399473	1.426320	1.702748	1.702748	105.299058	113.091366	113.091368	105.299059	95.373152	0.000011	-18.186559	0.000000	0.298202	0.0000	c1ccc2c(c1)NS(=O)(=O)N2
22223f1	22223	NCNNC	-,-,-,-,-	1.425068	1.289440	1.376851	1.489453	1.446749	107.206058	113.495612	106.611853	111.980235	100.355602	5.883160	-6.017083	0.000000	0.051012	3.7622	CN1C=NN2[C@@H]1[N+](=C([CH-]2)c3ccccc3)C
